project,precision_p_value,precision_cliff_delta,precision_effect_size,precision_clean,precision_noisy,precision_percent,recall_p_value,recall_cliff_delta,recall_effect_size,recall_clean,recall_noisy,recall_percent,f1_p_value,f1_cliff_delta,f1_effect_size,f1_clean,f1_noisy,f1_percent,AUC_p_value,AUC_cliff_delta,AUC_effect_size,AUC_clean,AUC_noisy,AUC_percent,MCC_p_value,MCC_cliff_delta,MCC_effect_size,MCC_clean,MCC_noisy,MCC_percent,G-Mean_p_value,G-Mean_cliff_delta,G-Mean_effect_size,G-Mean_clean,G-Mean_noisy,G-Mean_percent
jruby-1.1,0.016111819939090548,0.659375,large,0.52,0.4,1.33,6.510370147984569e-05,-0.806875,large,0.37,0.53,0.7,0.3537877732798569,0.34,medium,0.43,0.45,0.95,0.0006861865023470503,-0.581875,large,0.67,0.73,0.93,0.15249101779072802,0.44125,medium,0.4,0.4,1.02,7.785793899454198e-05,-0.73,large,0.54,0.67,0.81
camel-1.4.0,9.998204166077258e-06,0.693125,large,0.8,0.73,1.11,8.524842982179096e-05,-0.54,large,0.29,0.37,0.8,0.00027013934112188163,-0.49125,large,0.42,0.48,0.88,0.0002706741702012699,-0.50625,large,0.64,0.66,0.96,0.22775396845951645,-0.135,negligible,0.42,0.43,0.96,0.00017153649848820505,-0.515,large,0.52,0.59,0.89
camel-2.10.0,0.002881956636394689,-0.29875,small,0.03,0.31,0.08,0.011370931991236325,-0.29375,small,0.0,0.01,0.13,0.011370931991236325,-0.29375,small,0.0,0.02,0.13,0.010475273039925528,-0.293125,small,0.5,0.5,0.99,0.012526619836148676,-0.293125,small,0.01,0.05,0.11,0.011370931991236325,-0.29375,small,0.01,0.06,0.1
jruby-1.4.0,9.72007856561009e-07,0.690625,large,0.86,0.81,1.06,4.595374360203981e-07,-0.885,large,0.38,0.49,0.78,6.006553858780358e-07,-0.88375,large,0.52,0.61,0.86,8.321993337261717e-07,-0.891875,large,0.68,0.73,0.93,3.7775281409111252e-06,-0.821875,large,0.51,0.56,0.9,6.024133328834064e-07,-0.880625,large,0.61,0.69,0.89
wicket-1.3.0-beta2,0.5586052557028027,-0.00125,negligible,0.35,0.35,0.99,3.467200048992663e-08,-1.0,large,0.06,0.4,0.16,3.500561189647301e-08,-1.0,large,0.1,0.37,0.28,3.368778624863278e-08,-1.0,large,0.53,0.67,0.8,1.8288866448814873e-07,-0.883125,large,0.13,0.31,0.41,3.512988191203588e-08,-1.0,large,0.17,0.61,0.29
hive-0.9.0,1.6695917207689224e-07,0.7,large,0.66,0.15,4.42,3.4402227605495847e-08,1.0,large,0.52,0.01,77.0,3.3021709474930916e-08,1.0,large,0.58,0.01,45.41,3.098040897816056e-08,1.0,large,0.73,0.5,1.45,3.318713936589443e-08,1.0,large,0.5,0.03,17.86,3.432897246653818e-08,1.0,large,0.7,0.03,22.32
groovy-1_6_BETA_1,0.6230976409740043,0.088125,negligible,0.34,0.31,1.11,0.2508793252576528,-0.125625,negligible,0.09,0.12,0.78,0.5213386053633077,-0.07375,negligible,0.14,0.16,0.86,0.4884501505332791,-0.0925,negligible,0.54,0.55,0.99,0.9931773165362947,0.040625,negligible,0.15,0.15,0.99,0.362981505042818,-0.11,negligible,0.22,0.27,0.81
wicket-1.5.3,0.31731050786291415,0.025,negligible,0.03,0.0,NAN,0.31731050786291415,0.025,negligible,0.0,0.0,NAN,0.31731050786291415,0.025,negligible,0.0,0.0,NAN,0.31731050786291415,0.025,negligible,0.5,0.5,1.0,0.31731050786291415,0.025,negligible,0.0,0.0,NAN,0.31731050786291415,0.025,negligible,0.0,0.0,NAN
wicket-1.3.0-incubating-beta-1,2.3587348553837986e-05,0.4975,large,0.41,0.21,1.96,5.144891426570017e-08,-0.92,large,0.12,0.37,0.32,0.0006146317530453947,-0.400625,medium,0.18,0.26,0.68,1.8412892235726127e-07,-0.82875,large,0.56,0.65,0.86,0.5618018071756246,0.023125,negligible,0.2,0.22,0.91,3.836100316148531e-08,-0.88,large,0.29,0.57,0.5
activemq-5.3.0,0.34668457250292783,-0.225,small,0.66,0.54,1.22,6.754004814927719e-08,0.91125,large,0.17,0.03,5.19,7.30335750029689e-08,0.9075,large,0.26,0.06,4.31,7.8931591366148e-08,0.908125,large,0.58,0.51,1.12,3.251125745625205e-07,0.855,large,0.29,0.12,2.51,1.0967814641783035e-07,0.91125,large,0.39,0.14,2.87
