project,method,precision_p_value,precision_cliff_delta,precision_effect_size,precision_method,precision_noisy,precision_percent,recall_p_value,recall_cliff_delta,recall_effect_size,recall_method,recall_noisy,recall_percent,f1_p_value,f1_cliff_delta,f1_effect_size,f1_method,f1_noisy,f1_percent,AUC_p_value,AUC_cliff_delta,AUC_effect_size,AUC_method,AUC_noisy,AUC_percent,MCC_p_value,MCC_cliff_delta,MCC_effect_size,MCC_method,MCC_noisy,MCC_percent,G-Mean_p_value,G-Mean_cliff_delta,G-Mean_effect_size,G-Mean_method,G-Mean_noisy,G-Mean_percent
jruby-1.1,LRT,0.0016198720243559776,-0.4675,medium,0.32,0.4,0.81,0.17420540426080888,0.01625,negligible,0.49,0.53,0.93,0.0036088776357948013,-0.776875,large,0.29,0.45,0.64,0.8395448851970599,-0.15875,small,0.67,0.73,0.93,0.0060986957710745275,-0.709375,large,0.28,0.4,0.7,0.8108338245483108,-0.11375,negligible,0.52,0.67,0.78
camel-1.4.0,LRT,2.58029002246134e-07,-0.7,large,0.15,0.73,0.2,5.112357621513859e-08,-1.0,large,0.01,0.37,0.03,5.104728709472342e-08,-1.0,large,0.02,0.48,0.04,4.867611005260152e-08,-1.0,large,0.51,0.66,0.76,5.055382109658245e-08,-1.0,large,0.03,0.43,0.07,5.106635007007212e-08,-1.0,large,0.04,0.59,0.06
camel-2.10.0,LRT,6.077473656176727e-07,0.35,medium,0.18,0.31,0.59,3.4182871260190176e-08,1.0,large,0.52,0.01,52.87,3.207866380898319e-08,1.0,large,0.27,0.02,13.96,3.012128860163868e-08,1.0,large,0.72,0.5,1.43,2.9092592972538693e-08,0.98625,large,0.27,0.05,5.1,3.3675789761592183e-08,1.0,large,0.69,0.06,12.42
jruby-1.4.0,LRT,0.004188851189905351,-0.07125,negligible,0.58,0.81,0.71,3.906783193472952e-07,-0.885,large,0.15,0.49,0.3,5.2416267823512086e-08,-0.985625,large,0.2,0.61,0.33,8.657990907530787e-08,-0.980625,large,0.57,0.73,0.78,3.5517573253029944e-08,-0.99375,large,0.22,0.56,0.39,1.4715715346656539e-07,-0.9525,large,0.29,0.69,0.42
wicket-1.3.0-beta2,LRT,0.8006446026455374,0.100625,negligible,0.35,0.35,0.99,0.22796824737556076,-0.999375,large,0.09,0.4,0.23,0.20668606705252013,-1.0,large,0.14,0.37,0.37,0.23996654569423648,-1.0,large,0.54,0.67,0.81,0.45434765449276215,-0.728125,large,0.15,0.31,0.5,0.2705335719787808,-1.0,large,0.22,0.61,0.37
hive-0.9.0,LRT,4.123619157102056e-08,0.7375,large,0.88,0.15,5.86,3.5092560476821164e-08,1.0,large,0.21,0.01,30.56,3.486935891658717e-08,1.0,large,0.33,0.01,25.92,3.334140142245645e-08,1.0,large,0.6,0.5,1.19,3.163306997128816e-08,1.0,large,0.38,0.03,13.29,3.530450778424134e-08,1.0,large,0.45,0.03,14.48
groovy-1_6_BETA_1,LRT,3.935392447114207e-05,-0.64125,large,0.01,0.31,0.02,3.79849061838097e-05,-0.6325,large,0.0,0.12,0.03,3.958579030111983e-05,-0.63625,large,0.0,0.16,0.03,3.8710337027778265e-05,-0.634375,large,0.5,0.55,0.91,3.953933205152894e-05,-0.64125,large,0.0,0.15,0.02,3.893923886288373e-05,-0.63625,large,0.01,0.27,0.03
wicket-1.5.3,LRT,6.261654527253898e-07,1.0,large,0.18,0.0,NAN,3.426803074304893e-08,1.0,large,0.41,0.0,NAN,3.365180799509098e-08,1.0,large,0.25,0.0,NAN,3.408577278201985e-08,1.0,large,0.67,0.5,1.33,3.4414450074359677e-08,1.0,large,0.23,0.0,NAN,3.48075791739092e-08,1.0,large,0.61,0.0,NAN
wicket-1.3.0-incubating-beta-1,LRT,2.540649767594507e-06,-0.584375,large,0.07,0.21,0.34,0.00013826296765736588,-0.985625,large,0.03,0.37,0.08,2.0832500139856223e-05,-0.95625,large,0.04,0.26,0.15,2.762597296279197e-05,-0.98125,large,0.51,0.65,0.79,2.834074669291972e-06,-0.94,large,0.04,0.22,0.17,3.757468610789925e-05,-0.985625,large,0.08,0.57,0.15
activemq-5.3.0,LRT,0.00016197864347563954,-0.223125,small,0.59,0.54,1.08,1.5917654983574658e-06,0.998125,large,0.33,0.03,10.16,3.1801151751182313e-06,0.9975,large,0.4,0.06,6.61,1.737929981205645e-06,0.998125,large,0.65,0.51,1.25,2.531265046983962e-05,0.9975,large,0.37,0.12,3.24,1.1354943068834906e-06,0.998125,large,0.55,0.14,4.06
