project,method,precision_p_value,precision_cliff_delta,precision_effect_size,precision_method,precision_noisy,precision_percent,recall_p_value,recall_cliff_delta,recall_effect_size,recall_method,recall_noisy,recall_percent,f1_p_value,f1_cliff_delta,f1_effect_size,f1_method,f1_noisy,f1_percent,AUC_p_value,AUC_cliff_delta,AUC_effect_size,AUC_method,AUC_noisy,AUC_percent,MCC_p_value,MCC_cliff_delta,MCC_effect_size,MCC_method,MCC_noisy,MCC_percent,G-Mean_p_value,G-Mean_cliff_delta,G-Mean_effect_size,G-Mean_method,G-Mean_noisy,G-Mean_percent
jruby-1.1,RFF,0.8088303093504974,0.0625,negligible,0.22,0.22,1.01,0.05086857485303163,0.19375,small,0.88,0.83,1.06,0.15465533639152176,0.146875,negligible,0.35,0.34,1.03,0.0004803312983770806,0.426875,medium,0.77,0.74,1.03,0.007830679196833078,0.286875,small,0.33,0.3,1.07,0.0010074717200113086,0.380625,medium,0.76,0.73,1.04
camel-1.4.0,RFF,0.4003502221621814,0.115625,negligible,0.41,0.4,1.02,0.16186007840198657,0.15625,small,0.72,0.69,1.03,0.006766722742716159,0.391875,medium,0.52,0.5,1.03,0.000154795990663288,0.478125,large,0.71,0.7,1.02,0.01996005550285691,0.343125,medium,0.37,0.34,1.06,0.0005342225342881932,0.450625,medium,0.71,0.69,1.02
camel-2.10.0,RFF,0.4823103064217025,-0.08,negligible,0.08,0.08,0.98,0.02671413604658779,0.261875,small,0.53,0.49,1.08,0.9073289449572214,0.008125,negligible,0.14,0.14,1.0,0.06306577149727552,0.213125,small,0.67,0.66,1.01,0.36023681477931957,0.098125,negligible,0.14,0.14,1.04,0.04183264634123646,0.266875,small,0.65,0.63,1.03
jruby-1.4.0,RFF,0.3826192235548024,0.139375,negligible,0.39,0.39,0.99,0.9281966246572457,-0.02125,negligible,0.78,0.77,1.01,0.24077714376835924,0.16625,small,0.52,0.51,1.01,0.11286824409378636,0.1975,small,0.72,0.71,1.01,0.22006617083612012,0.160625,small,0.36,0.36,1.02,0.06291038213320903,0.23875,small,0.71,0.7,1.02
wicket-1.3.0-beta2,RFF,0.285033119819603,0.131875,negligible,0.17,0.17,1.02,0.9457905762249873,0.05375,negligible,0.69,0.7,1.0,0.2512005313180746,0.1125,negligible,0.27,0.27,1.01,0.2538971611096059,0.17125,small,0.68,0.68,1.01,0.18600295834691982,0.135625,negligible,0.22,0.21,1.02,0.59454428525809,0.104375,negligible,0.68,0.68,1.0
hive-0.9.0,RFF,0.7114458105219105,-0.020625,negligible,0.54,0.54,0.99,0.6739710437270028,-0.016875,negligible,0.42,0.4,1.03,0.9536732012615609,-0.061875,negligible,0.45,0.45,1.0,0.9041386923161875,-0.018125,negligible,0.66,0.66,1.0,0.818245836487518,0.050625,negligible,0.36,0.36,1.0,0.6950699036175939,-0.023125,negligible,0.61,0.6,1.01
groovy-1_6_BETA_1,RFF,0.30967985921025,-0.18125,small,0.23,0.24,0.96,0.8139354545785193,0.00625,negligible,0.82,0.82,1.0,0.306964114867848,-0.1775,small,0.36,0.37,0.97,0.1878552208416603,-0.21,small,0.76,0.77,0.99,0.19638389758712216,-0.21125,small,0.33,0.34,0.96,0.13802389979822022,-0.211875,small,0.76,0.77,0.99
wicket-1.5.3,RFF,0.2423181006140528,0.221875,small,0.09,0.08,1.04,0.6319541273716475,-0.056875,negligible,0.46,0.47,0.97,0.16296235503642897,0.225625,small,0.14,0.14,1.04,0.8934867480358424,0.03125,negligible,0.63,0.63,1.0,0.34980064508823294,0.14375,negligible,0.12,0.12,1.05,0.9338520415389018,-0.009375,negligible,0.6,0.6,1.01
wicket-1.3.0-incubating-beta-1,RFF,0.8983280083689971,0.143125,negligible,0.11,0.11,0.99,0.0033388994691111655,0.2625,small,0.78,0.72,1.08,0.47715656387545524,0.215625,small,0.19,0.18,1.02,0.0011090346482077909,0.498125,large,0.72,0.69,1.03,0.05778115994331164,0.295625,small,0.2,0.18,1.06,0.0034220999104851773,0.51,large,0.71,0.69,1.03
activemq-5.3.0,RFF,0.5566209898213071,-0.04625,negligible,0.35,0.36,0.98,0.33300465108134947,0.173125,small,0.65,0.62,1.05,0.4160313411181489,0.05375,negligible,0.45,0.44,1.01,0.26896493129864507,0.20375,small,0.74,0.73,1.01,0.38169613330286123,0.120625,negligible,0.38,0.38,1.02,0.3335533195366258,0.194375,small,0.73,0.72,1.02
lucene-2.3.0,RFF,0.041557349609738926,-0.345625,medium,0.57,0.61,0.93,0.005942793304202773,0.36625,medium,0.75,0.71,1.06,0.19211337025281894,-0.2125,small,0.64,0.65,0.99,0.29145409631257757,-0.159375,small,0.75,0.76,0.99,0.11550330080714784,-0.2625,small,0.47,0.49,0.96,0.748244492090889,-0.055625,negligible,0.75,0.75,1.0
lucene-2.9.0,RFF,0.20467978348449856,0.1925,small,0.33,0.32,1.03,0.6189102468484129,-0.158125,small,0.66,0.69,0.95,0.5486113106568569,0.065625,negligible,0.43,0.42,1.01,0.3705087602053668,0.101875,negligible,0.67,0.66,1.01,0.31306724776217876,0.08,negligible,0.27,0.27,1.02,0.364216803962952,0.11375,negligible,0.65,0.64,1.01
derby-10.5.1.1,RFF,0.5766906869531685,0.07375,negligible,0.31,0.3,1.01,0.9090234592253643,-0.003125,negligible,0.49,0.48,1.01,0.22436174011561438,0.08125,negligible,0.37,0.36,1.02,0.3168875529174492,0.0725,negligible,0.66,0.65,1.01,0.2854519283047041,0.080625,negligible,0.26,0.26,1.03,0.6901905220998037,0.0275,negligible,0.63,0.62,1.01
