project,method,precision_p_value,precision_cliff_delta,precision_effect_size,precision_method,precision_noisy,precision_percent,recall_p_value,recall_cliff_delta,recall_effect_size,recall_method,recall_noisy,recall_percent,f1_p_value,f1_cliff_delta,f1_effect_size,f1_method,f1_noisy,f1_percent,AUC_p_value,AUC_cliff_delta,AUC_effect_size,AUC_method,AUC_noisy,AUC_percent,MCC_p_value,MCC_cliff_delta,MCC_effect_size,MCC_method,MCC_noisy,MCC_percent,G-Mean_p_value,G-Mean_cliff_delta,G-Mean_effect_size,G-Mean_method,G-Mean_noisy,G-Mean_percent
jruby-1.1,RFF,3.530450778424134e-08,1.0,large,0.44,0.22,1.99,5.8305984727150284e-08,-0.95,large,0.51,0.83,0.61,3.515478214167693e-08,1.0,large,0.47,0.34,1.37,5.8504790213877644e-05,-0.581875,large,0.71,0.74,0.96,3.530450778424134e-08,0.970625,large,0.41,0.3,1.33,7.29823246924242e-06,-0.665625,large,0.68,0.73,0.94
camel-1.4.0,RFF,2.497568929515827e-07,0.95,large,0.74,0.4,1.85,3.554271352232285e-08,-1.0,large,0.28,0.69,0.41,8.572272048336304e-08,-0.948125,large,0.41,0.5,0.81,3.244837103046087e-08,-0.998125,large,0.63,0.7,0.9,4.217473518480143e-06,0.740625,large,0.38,0.34,1.12,3.484463552534277e-08,-1.0,large,0.52,0.69,0.74
camel-2.10.0,RFF,2.7728419296112008e-08,-1.0,large,0.0,0.08,0.0,3.5092560476821164e-08,-1.0,large,0.0,0.49,0.0,2.8819337956085286e-08,-1.0,large,0.0,0.14,0.0,3.196388864376224e-08,-1.0,large,0.5,0.66,0.76,3.155366750157684e-08,-1.0,large,0.0,0.14,0.0,3.423151113345613e-08,-1.0,large,0.0,0.63,0.0
jruby-1.4.0,RFF,5.56870233265111e-08,0.95,large,0.83,0.39,2.11,3.540463429660937e-08,-1.0,large,0.43,0.77,0.56,7.5425879659909005e-06,0.656875,large,0.56,0.51,1.1,0.7549566352940374,0.02875,negligible,0.7,0.71,0.99,5.313748700877734e-07,0.95,large,0.53,0.36,1.49,7.868904366653959e-06,-0.5725,large,0.64,0.7,0.91
wicket-1.3.0-beta2,RFF,3.529200939163127e-08,1.0,large,0.35,0.17,2.07,3.531701004591631e-08,-0.99875,large,0.38,0.7,0.55,3.473356981913145e-08,0.9975,large,0.36,0.27,1.34,1.995866429755919e-06,-0.69,large,0.66,0.68,0.97,3.500561189647301e-08,0.995625,large,0.3,0.21,1.4,3.512988191203588e-08,-0.96,large,0.6,0.68,0.88
hive-0.9.0,RFF,3.5367057803538484e-08,-1.0,large,0.0,0.54,0.0,3.5092560476821164e-08,-1.0,large,0.0,0.4,0.0,3.2951032045288455e-08,-1.0,large,0.0,0.45,0.0,3.0405315114721644e-08,-1.0,large,0.5,0.66,0.76,3.3460490929350184e-08,-1.0,large,0.0,0.36,0.0,3.437779405378946e-08,-1.0,large,0.0,0.6,0.0
groovy-1_6_BETA_1,RFF,0.0010812401017576683,-0.60875,large,0.12,0.24,0.5,1.8420913884801758e-08,-1.0,large,0.04,0.82,0.04,3.782404224419906e-08,-0.9525,large,0.05,0.37,0.13,3.386818256730577e-08,-0.99875,large,0.52,0.77,0.67,3.4635104712502574e-08,-0.970625,large,0.05,0.34,0.15,3.361586334951612e-08,-0.99875,large,0.08,0.77,0.1
wicket-1.5.3,RFF,2.5000358068317413e-08,-1.0,large,0.0,0.08,0.0,3.479523471552653e-08,-1.0,large,0.0,0.47,0.0,2.887171175357451e-08,-1.0,large,0.0,0.14,0.0,3.45368837446348e-08,-1.0,large,0.5,0.63,0.8,3.4013107282978924e-08,-1.0,large,0.0,0.12,0.0,3.512988191203588e-08,-1.0,large,0.0,0.6,0.0
wicket-1.3.0-incubating-beta-1,RFF,7.629016149346283e-08,0.93875,large,0.18,0.11,1.65,3.474589514902142e-08,-1.0,large,0.27,0.72,0.37,6.10285630775873e-05,0.66625,large,0.21,0.18,1.15,3.4635104712502574e-08,-0.994375,large,0.6,0.69,0.87,0.00620871884229776,-0.385,medium,0.17,0.18,0.91,3.5117437580074526e-08,-1.0,large,0.5,0.69,0.73
activemq-5.3.0,RFF,0.03360289358118295,-0.65,large,0.17,0.36,0.47,3.519216141559288e-08,-1.0,large,0.01,0.62,0.01,3.4426676339894374e-08,-1.0,large,0.01,0.44,0.02,3.318713936589443e-08,-1.0,large,0.5,0.73,0.69,3.461052660255836e-08,-1.0,large,0.03,0.38,0.07,3.484463552534277e-08,-1.0,large,0.03,0.72,0.04
lucene-2.3.0,RFF,9.236825267840299e-07,-0.55,large,0.2,0.61,0.33,3.486935891658717e-08,-1.0,large,0.04,0.71,0.06,3.3952656215535894e-08,-1.0,large,0.07,0.65,0.1,3.174680534177621e-08,-1.0,large,0.52,0.76,0.69,3.5117437580074526e-08,-0.9925,large,0.07,0.49,0.15,3.18837599610785e-08,-1.0,large,0.09,0.75,0.12
lucene-2.9.0,RFF,0.11781590016350287,0.25375,small,0.31,0.32,0.98,3.553014144400866e-08,-0.961875,large,0.19,0.69,0.27,3.531701004591631e-08,-0.96125,large,0.22,0.42,0.53,3.496840591153445e-08,-0.959375,large,0.55,0.66,0.84,3.5505008948369615e-08,-0.959375,large,0.12,0.27,0.47,3.559304072927713e-08,-0.958125,large,0.38,0.64,0.59
derby-10.5.1.1,RFF,0.3165135639717036,-0.2,small,0.3,0.3,0.99,3.5517573253029944e-08,-1.0,large,0.03,0.48,0.06,3.512988191203588e-08,-1.0,large,0.05,0.36,0.14,3.365180799509098e-08,-1.0,large,0.51,0.65,0.79,6.710532702272098e-08,-0.9075,large,0.08,0.26,0.31,3.547989199393842e-08,-1.0,large,0.11,0.62,0.17
camel-2.9.0,RFF,3.271639531921602e-08,-1.0,large,0.0,0.07,0.0,3.527951486707399e-08,-1.0,large,0.0,0.65,0.0,3.390436302776218e-08,-1.0,large,0.0,0.12,0.0,3.389229912065151e-08,-1.0,large,0.5,0.69,0.73,3.38079568262532e-08,-1.0,large,0.0,0.14,0.0,3.391643068981632e-08,-1.0,large,0.0,0.66,0.0
hbase-0.95.0,RFF,3.4561416126631255e-08,-1.0,large,0.0,0.38,0.0,3.530450778424134e-08,-1.0,large,0.0,0.43,0.0,3.420718363734928e-08,-1.0,large,0.0,0.39,0.0,3.322268278426604e-08,-1.0,large,0.5,0.6,0.83,3.4438906403097895e-08,-1.0,large,0.0,0.19,0.0,3.4402227605495847e-08,-1.0,large,0.0,0.56,0.0
